Q: 0,A: 1,M: 2
"Khi sinh con được quà, phúc lợi gì từ công ty, công đoàn? Cần những giấy tờ gì để được hưởng?","Ngoài các chế độ theo qui định của BHXH, công ty hỗ trợ nửa tháng lương đối với lao động nữ sinh con, đối với lao động nam sẽ có quà sinh con chi vào lương
Cần cung cấp giấy khai sinh bản sao cho công ty và công đoàn","**Q: Khi sinh con được quà, phúc lợi gì từ công ty, công đoàn? Cần những giấy tờ gì để được hưởng?**A: Ngoài các chế độ theo qui định của BHXH, công ty hỗ trợ nửa tháng lương đối với lao động nữ sinh con, đối với lao động nam sẽ có quà sinh con chi vào lương
Cần cung cấp giấy khai sinh bản sao cho công ty và công đoàn"
Nam nhân viên khi vợ sinh con nếu vợ không tham gia BHXH thì được hưởng những quyền lợi gì?,"Nam nhân viên khi vợ sinh nhưng vợ không tham gia BHXH thì cần thông báo cho C & B phụ trách để C & B làm đề nghị với BHXH hỗ trợ 2 tháng lương cơ sở.
Cần cung cấp CCCD/CMND của vợ và giấy khai sinh của bé cho C & B ","**Q: Nam nhân viên khi vợ sinh con nếu vợ không tham gia BHXH thì được hưởng những quyền lợi gì?**A: Nam nhân viên khi vợ sinh nhưng vợ không tham gia BHXH thì cần thông báo cho C & B phụ trách để C & B làm đề nghị với BHXH hỗ trợ 2 tháng lương cơ sở.
Cần cung cấp CCCD/CMND của vợ và giấy khai sinh của bé cho C & B "
"Khi kết hôn, tái hôn được hưởng những chính sách gì từ công ty và công đoàn và cần những giấy tờ gì để được hưởng?","Khi nhân viên kết hôn được hưởng chính sách hỗ trợ quà cưới (áp dụng cho cả nam và nữ cùng làm việc trong tập đoàn) và chính sách từ Công Đoàn ( mỗi khu vực có chính sách khác nha)
Cần cung cấp giấy chứng nhận kết hôn cho C & B và công đoàn","**Q: Khi kết hôn, tái hôn được hưởng những chính sách gì từ công ty và công đoàn và cần những giấy tờ gì để được hưởng?**A: Khi nhân viên kết hôn được hưởng chính sách hỗ trợ quà cưới (áp dụng cho cả nam và nữ cùng làm việc trong tập đoàn) và chính sách từ Công Đoàn ( mỗi khu vực có chính sách khác nha)
Cần cung cấp giấy chứng nhận kết hôn cho C & B và công đoàn"
Con ốm nằm viện được hưởng những quyền lợi gì từ bảo hiểm,"NLĐ cung cấp giấy ra viện cho C & B để làm thanh toán BHXH, những ngày nghỉ chăm con ốm công ty không trả lương mà BHXH trả lương, mức hưởng do BHXH chi trả là 75% tiền lương đóng BHXH của tháng liền kề","**Q: Con ốm nằm viện được hưởng những quyền lợi gì từ bảo hiểm**A: NLĐ cung cấp giấy ra viện cho C & B để làm thanh toán BHXH, những ngày nghỉ chăm con ốm công ty không trả lương mà BHXH trả lương, mức hưởng do BHXH chi trả là 75% tiền lương đóng BHXH của tháng liền kề"
"Cách cài đặt và sử dụng phần mềm BHXH VssID như thế nào?
Cách sử dụng thẻ BHYT, quá trình tham gia trên app VssID?","Cài đặt App Vssid trên điện thoại, đăng nhập bằng mã số BHXH, số điện thoại, email cá nhân và các thông tin cá nhân -> Hệ thống BHXH sẽ gửi mã đăng nhập vào tin nhắn cá nhân của nhân viên
B1: đăng nhập phần mềm VssID
B2: chọn ""Thẻ BHYT"", "" Quá trình tham gia""","**Q: Cách cài đặt và sử dụng phần mềm BHXH VssID như thế nào?
Cách sử dụng thẻ BHYT, quá trình tham gia trên app VssID?**A: Cài đặt App Vssid trên điện thoại, đăng nhập bằng mã số BHXH, số điện thoại, email cá nhân và các thông tin cá nhân -> Hệ thống BHXH sẽ gửi mã đăng nhập vào tin nhắn cá nhân của nhân viên
B1: đăng nhập phần mềm VssID
B2: chọn ""Thẻ BHYT"", "" Quá trình tham gia"""
Cách cài đặt và sử dụng phần mềm BaoViet Direct như thế nào?,"Cài đặt app Bao Viet Direct trên điện thoại, đăng nhập bằng số điện thoại, các thông tin cá nhân, nếu gặp lỗi trong quá trình đăng nhập liên hệ PE để được hỗ trợ","**Q: Cách cài đặt và sử dụng phần mềm BaoViet Direct như thế nào?**A: Cài đặt app Bao Viet Direct trên điện thoại, đăng nhập bằng số điện thoại, các thông tin cá nhân, nếu gặp lỗi trong quá trình đăng nhập liên hệ PE để được hỗ trợ"
Nếu NV mới muốn đăng ký nơi khám chữa bệnh BHYT thì cần liên hệ với Phòng Ban nào?,Liên hệ với nhân viên C & B để được đăng ký nơi khám chữa bệnh,**Q: Nếu NV mới muốn đăng ký nơi khám chữa bệnh BHYT thì cần liên hệ với Phòng Ban nào?**A: Liên hệ với nhân viên C & B để được đăng ký nơi khám chữa bệnh
"Làm thế nào để đăng ký mua bảo hiểm Bảo Việt cho vợ/chồng, con?",Nhân viên điền thông tin người thân vào form đăng ký trước ngày 05 hàng tháng,"**Q: Làm thế nào để đăng ký mua bảo hiểm Bảo Việt cho vợ/chồng, con?**A: Nhân viên điền thông tin người thân vào form đăng ký trước ngày 05 hàng tháng"
Nhân viên chưa có gia đình thì có thể mua bảo hiểm Bảo Việt cho cha mẹ ruột/nuôi được không?,"Việc đăng ký mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu chỉ được thực hiện vào đợt đầu đơn bảo hiểm (thường sẽ đăng ký vào tháng 08 hàng năm). Các tháng sau đó sẽ không cập nhật mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu. Do vậy, nếu NV onboard từ tháng 09 trở đi thì sẽ không mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu được mà phải đợi đến tháng 08 năm sau.","**Q: Nhân viên chưa có gia đình thì có thể mua bảo hiểm Bảo Việt cho cha mẹ ruột/nuôi được không?**A: Việc đăng ký mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu chỉ được thực hiện vào đợt đầu đơn bảo hiểm (thường sẽ đăng ký vào tháng 08 hàng năm). Các tháng sau đó sẽ không cập nhật mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu. Do vậy, nếu NV onboard từ tháng 09 trở đi thì sẽ không mua bảo hiểm Bảo Việt cho tứ thân phụ mẫu được mà phải đợi đến tháng 08 năm sau."
Sau khi nghỉ việc bảo hiểm Bảo Việt có bị cắt không? có thể tự đóng tiền để duy trì tiền bảo hiểm sức khỏe cho cá nhân và người thân đến cuối năm được không?,"Hiệu lực thẻ bảo hiểm Bảo Việt của nhân viên và vợ/chồng, con sẽ hết hiệu lực kể từ ngày NV nghỉ việc theo HĐ Bảo hiểm ký kết với Bảo Việt. Nếu NV có nhu cầu mua bảo hiểm sức khỏe cho người thân, vui lòng liên hệ trực tiếp với Bảo Việt để mua theo diện khách hàng cá nhân.","**Q: Sau khi nghỉ việc bảo hiểm Bảo Việt có bị cắt không? có thể tự đóng tiền để duy trì tiền bảo hiểm sức khỏe cho cá nhân và người thân đến cuối năm được không?**A: Hiệu lực thẻ bảo hiểm Bảo Việt của nhân viên và vợ/chồng, con sẽ hết hiệu lực kể từ ngày NV nghỉ việc theo HĐ Bảo hiểm ký kết với Bảo Việt. Nếu NV có nhu cầu mua bảo hiểm sức khỏe cho người thân, vui lòng liên hệ trực tiếp với Bảo Việt để mua theo diện khách hàng cá nhân."
Khi nào có thẻ bảo hiểm Bảo Việt? Làm sao nhận được mã thẻ và mã kích hoạt,"Thẻ bảo hiểm Bảo Việt sẽ có hiệu lực từ ngày nhân viên onboard. Bảo Việt sẽ gửi mail mã thẻ và mã kích hoạt thẻ cho NV trong vòng 02 tháng kể từ ngày onboard. Trong thời gian này, nếu NV có đi khám, vui lòng lưu giữ lại toàn bộ hồ sơ, hóa đơn để tạo yêu cầu bồi thường sau khi có thẻ.","**Q: Khi nào có thẻ bảo hiểm Bảo Việt? Làm sao nhận được mã thẻ và mã kích hoạt**A: Thẻ bảo hiểm Bảo Việt sẽ có hiệu lực từ ngày nhân viên onboard. Bảo Việt sẽ gửi mail mã thẻ và mã kích hoạt thẻ cho NV trong vòng 02 tháng kể từ ngày onboard. Trong thời gian này, nếu NV có đi khám, vui lòng lưu giữ lại toàn bộ hồ sơ, hóa đơn để tạo yêu cầu bồi thường sau khi có thẻ."
Nếu muốn mua bảo hiểm Bảo Việt ngoại trú cho người thân PC 49 trở xuống thì phải làm sao?,"Hiện tại, HĐ Bảo hiểm giữa GF và bảo hiểm Bảo Việt không có quy định về việc Nhân viên có thể đóng thêm phí để mở rộng hạn mức quyền lợi. Nhân viên có thể liên hệ trực tiếp với Bảo Việt để mua gói bảo hiểm theo nhu cầu của mình theo diện khách hàng cá nhân.","**Q: Nếu muốn mua bảo hiểm Bảo Việt ngoại trú cho người thân PC 49 trở xuống thì phải làm sao?**A: Hiện tại, HĐ Bảo hiểm giữa GF và bảo hiểm Bảo Việt không có quy định về việc Nhân viên có thể đóng thêm phí để mở rộng hạn mức quyền lợi. Nhân viên có thể liên hệ trực tiếp với Bảo Việt để mua gói bảo hiểm theo nhu cầu của mình theo diện khách hàng cá nhân."
Trường hợp bị mất sổ BHXH và tờ rời thì phải làm gì?,"Hiện tại, công ty đang không giữ sổ BHXH của nhân viên. Nhân viên liên hệ C & B để được hướng dẫn làm lại sổ và tờ rời","**Q: Trường hợp bị mất sổ BHXH và tờ rời thì phải làm gì?**A: Hiện tại, công ty đang không giữ sổ BHXH của nhân viên. Nhân viên liên hệ C & B để được hướng dẫn làm lại sổ và tờ rời"
Làm sao để hưởng chế độ nghỉ ốm của BHXH?,"NV submit nghỉ ốm trên hệ thống HCM và gửi Giấy nghỉ hưởng BHXH về cho C&B. C&B sẽ thực hiện hồ sơ hưởng nghỉ hưởng chế độ ốm gửi BHXH, BHXH sẽ chi trả qua ATM của NV sau khi xử lý xong hồ sơ.","**Q: Làm sao để hưởng chế độ nghỉ ốm của BHXH?**A: NV submit nghỉ ốm trên hệ thống HCM và gửi Giấy nghỉ hưởng BHXH về cho C&B. C&B sẽ thực hiện hồ sơ hưởng nghỉ hưởng chế độ ốm gửi BHXH, BHXH sẽ chi trả qua ATM của NV sau khi xử lý xong hồ sơ."
Yêu cầu xuất chứng từ khấu trừ thuế liên hệ ai?,Liên hệ C & B khu vực để được hỗ trợ xuất chứng từ khấu trừ thuế,**Q: Yêu cầu xuất chứng từ khấu trừ thuế liên hệ ai?**A: Liên hệ C & B khu vực để được hỗ trợ xuất chứng từ khấu trừ thuế
Phép năm có được nghỉ dồn một lúc nhiều ngày không?,Nhân viên liên hệ TBP để sắp xếp công việc hợp lý trước khi nghỉ phép tránh ảnh hưởng đến tiến độ công việc,**Q: Phép năm có được nghỉ dồn một lúc nhiều ngày không?**A: Nhân viên liên hệ TBP để sắp xếp công việc hợp lý trước khi nghỉ phép tránh ảnh hưởng đến tiến độ công việc
"Food theo chính sách GF từ tháng 01/01/2023, nếu từ tháng 01/2023 làm việc thâm niên 5 năm có được hưởng chế độ 5 triệu không?",Chính sách Lương Phúc Lợi áp dụng chung cho tập đoàn nên Food được hưởng các chính sách phúc lợi như các ngành khác,"**Q: Food theo chính sách GF từ tháng 01/01/2023, nếu từ tháng 01/2023 làm việc thâm niên 5 năm có được hưởng chế độ 5 triệu không?**A: Chính sách Lương Phúc Lợi áp dụng chung cho tập đoàn nên Food được hưởng các chính sách phúc lợi như các ngành khác"
Hồ sơ bồi thường Bảo Việt gồm những gì,"Hồ sơ YCBT gồm: Giấy YCBT ( claim form) theo mẫu, Chứng từ y tế (Sổ khám/phiếu khám, phiếu xét nghiệm, đơn thuốc,Giấy ra viện, bảng kê chi phí khám chữa bệnh, Giấy chứng nhận phẫu thuật (nếu có)…, chứng từ tài chính (Hóa đơn đỏ hoặc hóa đơn chuyển đổi bản gốc)","**Q: Hồ sơ bồi thường Bảo Việt gồm những gì**A: Hồ sơ YCBT gồm: Giấy YCBT ( claim form) theo mẫu, Chứng từ y tế (Sổ khám/phiếu khám, phiếu xét nghiệm, đơn thuốc,Giấy ra viện, bảng kê chi phí khám chữa bệnh, Giấy chứng nhận phẫu thuật (nếu có)…, chứng từ tài chính (Hóa đơn đỏ hoặc hóa đơn chuyển đổi bản gốc)"
Hình thức Bảo hiểm sức khỏe có gì khác so với BHYT mà NV vẫn trích đóng hàng tháng?,"- Người LĐ có thẻ BHYT khi đi khám chữa bệnh được Quỹ BHYT trả toàn bộ hoặc một phần tiền khám, chữa bệnh (tỷ lệ chi trả phụ thuộc vào việc chữa bệnh đúng tuyến hay trái tuyến)-> Cần có BHYT phòng trường hợp cho các bệnh hiểm nghèo.
- NLĐ có thêm Bảo hiểm sức khỏe, tai nạn (BH Bảo Việt) do công ty mua thêm; hạn mức chi trả cho các chi phí Khám bệnh, điều trị bệnh sẽ cao hơn và rộng hơn nhưng hạn mức có giới hạn
-> Vì vậy, nên dùng cả hai loại để tối ưu quyền lợi bảo hiểm","**Q: Hình thức Bảo hiểm sức khỏe có gì khác so với BHYT mà NV vẫn trích đóng hàng tháng?**A: - Người LĐ có thẻ BHYT khi đi khám chữa bệnh được Quỹ BHYT trả toàn bộ hoặc một phần tiền khám, chữa bệnh (tỷ lệ chi trả phụ thuộc vào việc chữa bệnh đúng tuyến hay trái tuyến)-> Cần có BHYT phòng trường hợp cho các bệnh hiểm nghèo.
- NLĐ có thêm Bảo hiểm sức khỏe, tai nạn (BH Bảo Việt) do công ty mua thêm; hạn mức chi trả cho các chi phí Khám bệnh, điều trị bệnh sẽ cao hơn và rộng hơn nhưng hạn mức có giới hạn
-> Vì vậy, nên dùng cả hai loại để tối ưu quyền lợi bảo hiểm"
Chính sách hỗ trợ nhà ở cho vợ/chồng của nhân viên. Nhà trẻ cho nhân viên nội trú trại,NV nội trú trại được hỗ trợ ăn ở tại trại. Chính sách nhà trẻ cho con NV nội trú trại hiện chưa có,**Q: Chính sách hỗ trợ nhà ở cho vợ/chồng của nhân viên. Nhà trẻ cho nhân viên nội trú trại**A: NV nội trú trại được hỗ trợ ăn ở tại trại. Chính sách nhà trẻ cho con NV nội trú trại hiện chưa có
Để NV mới nhanh chóng hòa nhập và bắt kịp tiến độ công việc được giao thì cần lưu ý những điểm nào?,"Nhân viên sẽ được tham gia chương trình hội nhập và đồng hành: Nhân viên sẽ nắm được về nội quy, quy định, văn hóa làm việc, người đồng hành đào tạo, hướng dẫn trong suốt quá trình thử việc tại công ty…","**Q: Để NV mới nhanh chóng hòa nhập và bắt kịp tiến độ công việc được giao thì cần lưu ý những điểm nào?**A: Nhân viên sẽ được tham gia chương trình hội nhập và đồng hành: Nhân viên sẽ nắm được về nội quy, quy định, văn hóa làm việc, người đồng hành đào tạo, hướng dẫn trong suốt quá trình thử việc tại công ty…"
Làm sao để đăng ký ca trên hệ thống?,"Thực hiện theo các bước sau:
B1: Đăng nhập vào Timesheet - Payroll, chọn Bảng công (biểu tượng Đồng hồ màu trắng góc trái màn hình)
B2: Chọn Đăng ký ca
B3: Chọn ngày cần đăng ký ca, chọn ca phù hợp với lịch làm việc
B4: Chọn ""Lưu và Đóng""","**Q: Làm sao để đăng ký ca trên hệ thống?**A: Thực hiện theo các bước sau:
B1: Đăng nhập vào Timesheet - Payroll, chọn Bảng công (biểu tượng Đồng hồ màu trắng góc trái màn hình)
B2: Chọn Đăng ký ca
B3: Chọn ngày cần đăng ký ca, chọn ca phù hợp với lịch làm việc
B4: Chọn ""Lưu và Đóng"""
Làm sao để đăng ký tăng ca trên hệ thống?,"Thực hiện theo các bước sau:
B1: Đăng nhập vào Timesheet - Payroll, chọn Bảng công (biểu tượng Đồng hồ màu trắng góc trái màn hình)
B2: Chọn Đăng ký tăng ca
B3: Chọn ngày cần đăng ký tăng ca, nhập thời gian đăng ký tăng ca và lý do tăng ca
B4: Chọn ""Lưu và Đóng""","**Q: Làm sao để đăng ký tăng ca trên hệ thống?**A: Thực hiện theo các bước sau:
B1: Đăng nhập vào Timesheet - Payroll, chọn Bảng công (biểu tượng Đồng hồ màu trắng góc trái màn hình)
B2: Chọn Đăng ký tăng ca
B3: Chọn ngày cần đăng ký tăng ca, nhập thời gian đăng ký tăng ca và lý do tăng ca
B4: Chọn ""Lưu và Đóng"""
Nhân viên thử việc có phải thiết lập OKR trên hệ thống không?,"Nhân viên đang thử việc vẫn thiết lập OKR trên hệ thống,  OKRs trong gia đoạn thử việc là một phần cơ sở để đánh giá thử việc.","**Q: Nhân viên thử việc có phải thiết lập OKR trên hệ thống không?**A: Nhân viên đang thử việc vẫn thiết lập OKR trên hệ thống,  OKRs trong gia đoạn thử việc là một phần cơ sở để đánh giá thử việc."
"Cập nhật thông tin cá nhân ( ngày sinh, CCCD, tình trạng hôn nhân, cập nhật bằng cấp…), xem các thông tin cá nhân nhân, lương, phụ cấp trên HCM như thế nào ","Vào HCM -> Me-> Personal Information-> chọn Personal detail ( xem chi tiết về ngày sinh, tình trạng hôn nhân, và CCCD)-> bấm vào cây bút chì bên phải màn hình để chỉnh sửa dữ liệu -> upload chứng từ để HR check và submit
-> Chọn Contact Info để xem các thông tin số điện thoại, email, địa chỉ->bấm vào cây bút bên phải màn hình để chỉnh sửa dữ liệu-> upload chứng từ để HR check và submit
-> Employment info để xem các thông tin cá nhân tại nơi làm việc
->Family and Emergency Contacts để xem thông tin người thân
-> My Compensation xem lịch sử lương và các khoản phụ cấp ","**Q: Cập nhật thông tin cá nhân ( ngày sinh, CCCD, tình trạng hôn nhân, cập nhật bằng cấp…), xem các thông tin cá nhân nhân, lương, phụ cấp trên HCM như thế nào **A: Vào HCM -> Me-> Personal Information-> chọn Personal detail ( xem chi tiết về ngày sinh, tình trạng hôn nhân, và CCCD)-> bấm vào cây bút chì bên phải màn hình để chỉnh sửa dữ liệu -> upload chứng từ để HR check và submit
-> Chọn Contact Info để xem các thông tin số điện thoại, email, địa chỉ->bấm vào cây bút bên phải màn hình để chỉnh sửa dữ liệu-> upload chứng từ để HR check và submit
-> Employment info để xem các thông tin cá nhân tại nơi làm việc
->Family and Emergency Contacts để xem thông tin người thân
-> My Compensation xem lịch sử lương và các khoản phụ cấp "
"Phép năm thao tác như thế nào trên HCM, các ký hiệu phép năm trên HCM ","Vào HCM-> Me-> Absence -> add absence, chọn giá trị muốn nghỉ phép
-Accident leave: nghỉ do tai nạn
-Annual leave: nghỉ phép năm
-Birth control leave: nghỉ thực hiện các biện pháp kế hoạch hóa GĐ
-Children Marriage leave: nghỉ do con kết hôn
-Children sick leave: nghỉ do con ốm
-Compassionate leave: nghỉ tang chế
-Compensatory leave: nghỉ bù
-Maternity leave: nghỉ thai sản
-On duty leave: đi công tác
-Recovery leave: nghỉ dưỡng sức
-Pregnancy check up leave: nghỉ khám thai
-Sick leave: nghỉ bản thân ốm
-Unpaid leave: nghit không lương
Gặp khó khăn trong thao tác Anh Chị vui lòng liên hê PE khu vực để được hỗ trợ ","**Q: Phép năm thao tác như thế nào trên HCM, các ký hiệu phép năm trên HCM **A: Vào HCM-> Me-> Absence -> add absence, chọn giá trị muốn nghỉ phép
-Accident leave: nghỉ do tai nạn
-Annual leave: nghỉ phép năm
-Birth control leave: nghỉ thực hiện các biện pháp kế hoạch hóa GĐ
-Children Marriage leave: nghỉ do con kết hôn
-Children sick leave: nghỉ do con ốm
-Compassionate leave: nghỉ tang chế
-Compensatory leave: nghỉ bù
-Maternity leave: nghỉ thai sản
-On duty leave: đi công tác
-Recovery leave: nghỉ dưỡng sức
-Pregnancy check up leave: nghỉ khám thai
-Sick leave: nghỉ bản thân ốm
-Unpaid leave: nghit không lương
Gặp khó khăn trong thao tác Anh Chị vui lòng liên hê PE khu vực để được hỗ trợ "
Hướng dẫn đánh giá tái ký HĐLĐ + qua thử việc trên HCM ,Vào HCM-> My Team -> Performance -> tìm nhân viên trong Search Person -> Chọn Probation Evaluation Form hoặc Tái ký HĐLĐ-> chọn Evaluation để tiến hành đánh giá -> Submit để hoàn thành.,**Q: Hướng dẫn đánh giá tái ký HĐLĐ + qua thử việc trên HCM **A: Vào HCM-> My Team -> Performance -> tìm nhân viên trong Search Person -> Chọn Probation Evaluation Form hoặc Tái ký HĐLĐ-> chọn Evaluation để tiến hành đánh giá -> Submit để hoàn thành.
